frame,gt_eyes_on_road,gt_eyes_off_road,gt_eyes_not_visible,gt_data_quality_problem,gt_unusual_event,pred_eyes_on_road,pred_eyes_off_road,pred_eyes_not_visible,pred_data_quality_problem,episodes_40s_episode_nr,gt_episodes_40s_time_buffer,gt_episodes_40s_is_distracted,pred_episodes_40s_time_buffer,pred_episodes_40s_is_distracted
0,1,0,0,0,0,1.0,0.0,0,0,0,2.0,0,2.0,0
1,1,0,0,0,0,1.0,0.0,0,0,0,2.0,0,2.0,0
2,1,0,0,0,0,1.0,0.0,0,0,0,2.0,0,2.0,0
3,0,1,0,0,0,0.0,1.0,0,0,0,1.96,0,1.96,0
4,0,1,0,0,0,0.0,1.0,0,0,0,1.92,0,1.92,0
5,0,1,0,0,0,0.0,1.0,0,0,0,1.88,0,1.88,0
6,0,1,0,0,0,0.0,1.0,0,0,0,1.84,0,1.84,0
7,0,1,0,0,0,0.0,1.0,0,0,0,1.7999999999999998,0,1.7999999999999998,0
8,0,1,0,0,0,0.0,1.0,0,0,0,1.7599999999999998,0,1.7599999999999998,0
9,0,1,0,0,0,0.0,1.0,0,0,0,1.7199999999999998,0,1.7199999999999998,0
10,0,1,0,0,0,0.0,1.0,0,0,0,1.6799999999999995,0,1.6799999999999995,0
11,0,1,0,0,0,0.0,1.0,0,0,0,1.6399999999999997,0,1.6399999999999997,0
12,0,1,0,0,0,0.0,1.0,0,0,0,1.5999999999999996,0,1.5999999999999996,0
13,0,1,0,0,0,0.0,1.0,0,0,0,1.5599999999999996,0,1.5599999999999996,0
14,0,1,0,0,0,0.0,1.0,0,0,0,1.5199999999999996,0,1.5199999999999996,0
15,0,1,0,0,0,0.0,1.0,0,0,0,1.4799999999999995,0,1.4799999999999995,0
16,0,1,0,0,0,0.0,1.0,0,0,0,1.4399999999999995,0,1.4399999999999995,0
17,0,1,0,0,0,0.0,1.0,0,0,0,1.3999999999999997,0,1.3999999999999997,0
18,0,1,0,0,0,0.0,1.0,0,0,0,1.3599999999999994,0,1.3599999999999994,0
19,0,1,0,0,0,0.0,1.0,0,0,0,1.3199999999999994,0,1.3199999999999994,0
20,0,1,0,0,0,0.0,1.0,0,0,0,1.2799999999999994,0,1.2799999999999994,0
21,0,1,0,0,0,0.0,1.0,0,0,0,1.239999999999999,0,1.239999999999999,0
22,0,1,0,0,0,0.0,1.0,0,0,0,1.1999999999999993,0,1.1999999999999993,0
23,0,1,0,0,0,0.0,1.0,0,0,0,1.1599999999999993,0,1.1599999999999993,0
24,0,1,0,0,0,0.0,1.0,0,1,0,1.1199999999999992,0,1.1199999999999992,0
25,0,1,0,0,0,0.0,1.0,0,1,0,1.0799999999999992,0,1.0799999999999992,0
26,0,1,0,0,0,0.0,1.0,0,0,0,1.0399999999999991,0,1.0399999999999991,0
27,0,1,0,0,0,0.0,1.0,0,1,0,0.9999999999999992,0,0.9999999999999992,0
28,0,1,0,0,0,0.0,1.0,0,1,0,0.9599999999999992,0,0.9599999999999992,0
29,0,1,0,0,0,0.0,1.0,0,1,0,0.9199999999999989,0,0.9199999999999989,0
30,0,1,0,0,0,0.0,1.0,0,1,0,0.879999999999999,0,0.879999999999999,0
31,0,1,0,0,0,0.0,1.0,0,1,0,0.839999999999999,0,0.839999999999999,0
32,0,1,0,0,0,0.0,1.0,0,1,0,0.7999999999999989,0,0.7999999999999989,0
33,0,1,0,0,0,0.0,1.0,0,1,0,0.7599999999999989,0,0.7599999999999989,0
34,0,1,0,0,0,0.0,1.0,0,1,0,0.7199999999999989,0,0.7199999999999989,0
35,0,1,0,0,0,1.0,0.0,0,1,0,0.6799999999999988,0,0.7199999999999989,0
36,0,1,0,0,0,1.0,0.0,0,1,0,0.6399999999999988,0,0.7199999999999989,0
